LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,j,dag,nshd_c,tpr_c,size
100.0,10.0,0.001,0.01,307,4,6.1333,0.1202,208
100.0,10.0,0.001,0.01,307,5,7.4333,0.1521,263
100.0,10.0,0.001,0.01,307,6,8.2667,0.1661,295
100.0,10.0,0.001,0.01,307,7,8.7667,0.1494,308
100.0,10.0,0.001,0.01,307,8,7.6,0.1709,275
100.0,10.0,0.001,0.01,307,9,9.8333,0.1276,337
100.0,10.0,0.001,0.01,307,10,5.8333,0.1714,210
100.0,10.0,0.001,0.01,307,11,8.7,0.1536,306
100.0,10.0,0.001,0.01,307,12,5.9,0.1635,208
100.0,10.0,0.001,0.01,307,13,7.1667,0.1634,257
100.0,10.0,0.001,0.01,307,14,8.4667,0.1453,296
100.0,10.0,0.001,0.01,307,15,4.2667,0.2,160
100.0,10.0,0.001,0.01,307,16,5.5333,0.1902,205
100.0,10.0,0.001,0.01,307,17,6.0667,0.1581,215
100.0,10.0,0.001,0.01,307,18,5.8333,0.1831,213
100.0,10.0,0.001,0.01,307,19,7.2333,0.1523,256
100.0,10.0,0.001,0.01,307,20,9.0,0.1221,303
100.0,10.0,0.001,0.01,307,21,7.4,0.1629,264
100.0,10.0,0.001,0.01,307,22,8.4667,0.1497,294
100.0,10.0,0.001,0.01,307,23,5.5,0.1759,199
0.1,0.01,0.001,0.001,6,0,8.9,0.1123,276
0.1,0.01,0.001,0.001,6,1,7.7,0.1571,261
0.1,0.01,0.001,0.001,6,2,8.0,0.123,252
0.1,0.01,0.001,0.001,6,3,8.0333,0.1396,265
0.1,0.01,0.001,0.001,6,4,7.7667,0.0898,245
0.1,0.01,0.001,0.001,6,5,8.0,0.1136,264
0.1,0.01,0.001,0.001,6,6,8.2,0.1034,261
0.1,0.01,0.001,0.001,6,7,8.0333,0.1172,256
0.1,0.01,0.001,0.001,6,8,7.5333,0.1571,261
0.1,0.01,0.001,0.001,6,9,8.4333,0.1127,275
0.1,0.01,0.001,0.001,6,10,8.5333,0.0849,271
0.1,0.01,0.001,0.001,6,11,8.4333,0.1514,284
0.1,0.01,0.001,0.001,6,12,7.1,0.1277,235
0.1,0.01,0.001,0.001,6,13,7.3333,0.1265,245
0.1,0.01,0.001,0.001,6,14,7.5,0.144,250
0.1,0.01,0.001,0.001,6,15,8.5667,0.0812,271
0.1,0.01,0.001,0.001,6,16,8.3333,0.1026,273
0.1,0.01,0.001,0.001,6,17,8.0667,0.0973,257
0.1,0.01,0.001,0.001,6,18,8.0667,0.1136,264
0.1,0.01,0.001,0.001,6,19,8.6,0.1091,275
0.1,0.01,0.001,0.001,6,20,7.1667,0.1404,235
0.1,0.01,0.001,0.001,6,21,8.2667,0.125,272
0.1,0.01,0.001,0.001,6,22,8.6333,0.0936,267
0.1,0.01,0.001,0.001,6,23,7.6,0.1385,260
0.1,0.01,0.01,0.01,11,0,8.5667,0.1061,264
0.1,0.01,0.01,0.01,11,1,8.8333,0.1232,284
0.1,0.01,0.01,0.01,11,2,8.1333,0.126,262
0.1,0.01,0.01,0.01,11,3,9.5667,0.0856,292
0.1,0.01,0.01,0.01,11,4,8.1,0.0729,247
0.1,0.01,0.01,0.01,11,5,7.8,0.0909,242
0.1,0.01,0.01,0.01,11,6,8.2667,0.1081,259
0.1,0.01,0.01,0.01,11,7,8.3333,0.0791,253
0.1,0.01,0.01,0.01,11,8,8.2,0.1288,264
0.1,0.01,0.01,0.01,11,9,8.1333,0.0924,249
0.1,0.01,0.01,0.01,11,10,7.8667,0.0902,244
0.1,0.01,0.01,0.01,11,11,7.8667,0.1294,255
0.1,0.01,0.01,0.01,11,12,7.9,0.0861,244
0.1,0.01,0.01,0.01,11,13,8.4333,0.0808,260
0.1,0.01,0.01,0.01,11,14,9.1,0.0783,281
0.1,0.01,0.01,0.01,11,15,8.5,0.0778,270
0.1,0.01,0.01,0.01,11,16,8.2333,0.0402,249
0.1,0.01,0.01,0.01,11,17,8.4333,0.0731,260
0.1,0.01,0.01,0.01,11,18,8.3333,0.0962,260
0.1,0.01,0.01,0.01,11,19,7.9667,0.1107,253
0.1,0.01,0.01,0.01,11,20,8.0667,0.1067,253
