MAX_SIZE,LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,z_RHO,z_MU,i,train_loss,val_loss,size,nshd_c,nshd,tpr,tpr_c,change_adj_count
,0.1,0.01,0.001,0.001,0,0,2,0.6362031390590053,9.78998327255249,252,8.0,7.966666666666667,0.5,0.12301587301587301,223
,0.1,0.01,0.001,0.0001,0,0,9,0.8349564498470675,16.83898989359538,287,8.566666666666666,8.433333333333334,0.6885245901639344,0.13240418118466898,346
,0.1,0.01,0.01,0.001,0,0,2,0.6380403964750229,10.3759716351827,260,8.0,7.833333333333333,0.609375,0.13076923076923078,156
,0.1,0.01,0.001,0.1,0,0,6,0.7021281526934716,13.11906369527181,273,8.8,8.833333333333334,0.40625,0.0989010989010989,182
,0.1,0.01,0.001,0.01,0,0,6,0.7902646853077796,19.509389877319336,260,8.633333333333333,8.6,0.359375,0.08461538461538462,171
,0.1,0.01,0,0.001,0,0,17,0.6274164261356476,4.02840522925059,136,4.066666666666666,3.933333333333333,0.5918367346938775,0.18382352941176472,172
,0.1,0.01,0,0.1,0,0,9,0.677998092866713,45.61616325378418,174,5.4,5.366666666666666,0.4918032786885246,0.16666666666666666,170
,0.1,0.01,0,0.0001,0,0,16,0.7394005598560456,3.0775616566340127,186,5.133333333333334,5.066666666666666,0.74,0.1881720430107527,295
,0.1,0.01,0.001,0.001,0,0,3,0.7272072511334573,93.78154691060384,265,8.033333333333333,8.0,0.6031746031746031,0.13962264150943396,250
,0.1,0.01,0,0.01,0,0,14,0.7313764095306396,9.759454250335693,194,6.166666666666667,6.133333333333334,0.4406779661016949,0.12886597938144329,194
,0.1,0.01,0.001,0.0001,0,0,10,0.7699923476865215,3.397828459739685,269,7.9,7.7,0.803921568627451,0.13011152416356878,277
,0.1,0.01,0.01,0.001,0,0,3,0.7562450343562711,138.4426180521647,250,7.7,7.7,0.5079365079365079,0.128,257
,0.1,0.01,0.001,0.1,0,0,7,0.9649563547103636,9.701654434204102,247,7.766666666666667,7.7,0.5483870967741935,0.12955465587044535,162
,0.1,0.01,0.001,0.01,0,0,7,0.7324827255741242,23.286048253377277,250,7.433333333333334,7.366666666666666,0.5806451612903226,0.136,161
,0.1,0.01,0,0.1,0,0,10,0.6290718374713775,12.540071646372477,157,5.366666666666666,5.266666666666667,0.3137254901960784,0.08280254777070063,173
,0.1,0.01,0,0.001,0,0,18,0.6698539718504875,9.373262325922648,166,4.933333333333334,4.733333333333333,0.6071428571428571,0.1686746987951807,190
,0.1,0.01,0.001,0.0001,0,0,11,0.9758349983922897,19.629125595092773,313,8.6,8.5,0.8823529411764706,0.18210862619808307,344
,0.1,0.01,0.001,0.001,0,0,4,0.6897453761869862,11.946964422861734,245,7.766666666666667,7.6,0.5625,0.08979591836734693,177
,0.1,0.01,0,0.01,0,0,15,0.7306248718692411,4.235851327578227,135,3.966666666666667,3.9,0.5714285714285714,0.16296296296296298,149
,0.1,0.01,0,0.0001,0,0,17,0.755859246177058,2.8661547104517617,186,5.4,5.266666666666667,0.6938775510204082,0.16129032258064516,301
,0.1,0.01,0.001,0.1,0,0,8,0.6999934104181105,23.56762154897054,275,8.666666666666666,8.566666666666666,0.5238095238095238,0.10909090909090909,159
,0.1,0.01,0.01,0.001,0,0,4,0.7878869445093216,11.148688475290934,243,7.733333333333333,7.633333333333334,0.5208333333333334,0.09053497942386832,174
,0.1,0.01,0,0.1,0,0,11,0.7773463072315339,22.885055700937908,211,6.066666666666666,5.933333333333334,0.6323529411764706,0.1848341232227488,196
,0.1,0.01,0.001,0.0001,0,0,12,0.7689988055536824,2.8587711652119956,263,7.4,7.3,0.8679245283018868,0.1634980988593156,279
,0.1,0.01,0.001,0.01,0,0,8,0.6194602981690438,22.514580408732098,267,8.233333333333333,8.033333333333333,0.5873015873015873,0.11610486891385768,167
,0.1,0.01,0,0.001,0,0,19,0.6008948645284099,15.07448959350586,167,4.933333333333334,4.833333333333333,0.5964912280701754,0.18562874251497005,176
,0.1,0.01,0.001,0.001,0,0,5,0.6254551083810868,36.210865338643394,264,8.0,7.933333333333334,0.5614035087719298,0.11363636363636363,195
,0.1,0.01,0,0.01,0,0,16,0.6015283561521961,5.268845637639363,148,4.5,4.5,0.46,0.1554054054054054,156
,0.1,0.01,0.001,0.1,0,0,9,0.7530724810015771,41.53170299530029,255,8.333333333333334,8.233333333333333,0.4426229508196721,0.09411764705882353,180
,0.1,0.01,0.01,0.001,0,0,5,0.6076170859798309,10.787350257237753,252,7.866666666666666,7.766666666666667,0.5263157894736842,0.10714285714285714,178
,0.1,0.01,0,0.0001,0,0,18,0.7696897118322311,5.801115989685059,198,5.333333333333333,5.1,0.8214285714285714,0.19696969696969696,286
,0.1,0.01,0.001,0.0001,0,0,13,0.8536047185620954,12.067630608876547,273,8.266666666666667,8.133333333333333,0.660377358490566,0.11355311355311355,308
