MAX_SIZE,z_RHO,z_MU,j,dag,nshd_c,tpr_c,size
66,0,0.00120806965197976,6,12,   0.7333      ,   0.7500      ,  52      
66,0,0.00120806965197976,6,13,   1.8000      ,   0.4667      ,  60      
66,0,0.00120806965197976,6,14,   0.6667      ,   0.8000      ,  55      
66,0,0.00120806965197976,6,15,   0.8000      ,   0.6346      ,  52      
66,0,0.00120806965197976,6,16,   0.7000      ,   0.6923      ,  52      
66,0,0.00120806965197976,6,17,   0.5000      ,   0.8235      ,  51      
66,0,0.00120806965197976,6,18,   0.6333      ,   0.8163      ,  49      
66,0,0.00120806965197976,6,19,   0.9667      ,   0.6800      ,  50      
66,0,0.00120806965197976,6,20,   2.7667      ,   0.2295      ,  61      
66,0,0.00120806965197976,6,21,   1.0333      ,   0.6545      ,  55      
66,0,0.00120806965197976,6,22,   2.0667      ,   0.3860      ,  57      
66,0,0.00120806965197976,6,23,   0.4333      ,   0.8113      ,  53      
None,0,0,1,0,   2.2333      ,   0.4742      ,  97      
None,0,0,1,1,   1.8667      ,   0.5326      ,  92      
None,0,0,1,2,   1.4333      ,   0.6032      ,  63      
None,0,0,1,3,   3.3667      ,   0.3333      , 129      
None,0,0,1,4,   1.0333      ,   0.5745      ,  47      
None,0,0,1,5,   1.3333      ,   0.5714      ,  63      
None,0,0,1,6,   1.6333      ,   0.5286      ,  70      
None,0,0,1,7,   1.4333      ,   0.6026      ,  78      
None,0,0,1,8,   0.9667      ,   0.7385      ,  65      
None,0,0,1,9,   1.4667      ,   0.5556      ,  81      
None,0,0,1,10,   1.4333      ,   0.4746      ,  59      
None,0,0,1,11,   1.5333      ,   0.5930      ,  86      
None,0,0,1,12,   1.0333      ,   0.6102      ,  59      
None,0,0,1,13,   1.8667      ,   0.4500      ,  80      
None,0,0,1,14,   0.6667      ,   0.7667      ,  60      
None,0,0,1,15,   0.9333      ,   0.5490      ,  51      
None,0,0,1,16,   0.6667      ,   0.6981      ,  53      
None,0,0,1,17,   0.8000      ,   0.6786      ,  56      
None,0,0,1,18,   0.6000      ,   0.7885      ,  52      
None,0,0,1,19,   1.0000      ,   0.6364      ,  55      
None,0,0,1,20,   3.1333      ,   0.2857      ,  98      
