MAX_SIZE,z_RHO,z_MU,j,dag,nshd_c,tpr_c,size
None,0.0280244755372679,0.220018032970804,4,8,   2.0333      ,   0.3158      ,  19      
None,0.0280244755372679,0.220018032970804,4,9,   1.8000      ,   0.5217      ,  23      
None,0.0280244755372679,0.220018032970804,4,10,   1.5667      ,   0.4545      ,  11      
None,0.0280244755372679,0.220018032970804,4,11,   2.6000      ,   0.2414      ,  29      
None,0.0280244755372679,0.220018032970804,4,12,   1.7333      ,   0.2222      ,   9      
None,0.0280244755372679,0.220018032970804,4,13,   1.9667      ,   0.2632      ,  19      
None,0.0280244755372679,0.220018032970804,4,14,   1.7667      ,   0.5000      ,  14      
None,0.0280244755372679,0.220018032970804,4,15,   1.4333      ,   0.0000      ,   6      
None,0.0280244755372679,0.220018032970804,4,16,   1.5333      ,   0.4545      ,  11      
None,0.0280244755372679,0.220018032970804,4,17,   1.5667      ,   0.2500      ,  12      
None,0.0280244755372679,0.220018032970804,4,18,   1.8667      ,   0.2500      ,   8      
None,0.0280244755372679,0.220018032970804,4,19,   1.7667      ,   0.3636      ,  11      
None,0.0280244755372679,0.220018032970804,4,20,   2.4667      ,   0.2683      ,  41      
None,0.0280244755372679,0.220018032970804,4,21,   1.9667      ,   0.1818      ,  11      
None,0.0280244755372679,0.220018032970804,4,22,   2.0000      ,   0.3448      ,  29      
None,0.0280244755372679,0.220018032970804,4,23,   1.6000      ,   0.1111      ,   9      
66,0,0,5,0,   2.2333      ,   0.4259      ,  54      
66,0,0,5,1,   1.9667      ,   0.5185      ,  54      
66,0,0,5,2,   1.7333      ,   0.5283      ,  53      
66,0,0,5,3,   2.5000      ,   0.3019      ,  53      
66,0,0,5,4,   1.7000      ,   0.4286      ,  49      
66,0,0,5,5,   1.3333      ,   0.5400      ,  50      
66,0,0,5,6,   1.7667      ,   0.4898      ,  49      
66,0,0,5,7,   1.8333      ,   0.5000      ,  56      
66,0,0,5,8,   2.1333      ,   0.3846      ,  52      
66,0,0,5,9,   2.1000      ,   0.4151      ,  53      
66,0,0,5,10,   1.1333      ,   0.6042      ,  48      
66,0,0,5,11,   1.8667      ,   0.5273      ,  55      
66,0,0,5,12,   1.0333      ,   0.6667      ,  51      
66,0,0,5,13,   1.6000      ,   0.4815      ,  54      
66,0,0,5,14,   1.3667      ,   0.6200      ,  50      
66,0,0,5,15,   1.2000      ,   0.4773      ,  44      
