LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,j,dag,nshd_c,tpr_c,size,"
Hyperparameter set"
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,21,1.2333,0.6515,66,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,22,0.8,0.7797,59,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,23,0.3667,0.9057,53,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,0,1.4667,0.5556,63,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,1,0.3667,0.8727,55,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,2,0.0667,0.9804,51,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,3,0.7333,0.8036,56,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,4,0.3,0.875,48,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,5,0.4333,0.9394,66,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,6,0.9333,0.7069,58,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,7,1.1667,0.7059,68,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,8,0.5333,0.8571,56,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,9,0.1333,0.9796,49,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,10,0.9,0.7931,58,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,11,0.4,0.9167,60,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,12,0.9,0.7679,56,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,13,1.1,0.7385,65,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,14,0.6333,0.7381,42,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,15,0.6667,0.8269,52,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,16,0.2667,0.9286,56,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,17,1.1,0.7167,60,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,18,0.1333,0.9808,52,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,19,0.9,0.75,60,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,20,0.9,0.7018,57,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,21,1.2667,0.6418,67,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,22,0.7333,0.7966,59,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,1,23,0.3667,0.9057,53,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,0,1.4667,0.5522,67,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,1,0.3667,0.8727,55,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,2,0.0667,0.9804,51,STE_Logistic_84
