LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,j,dag,nshd_c,tpr_c,size,"
Hyperparameter set"
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,13,0.7667,0.7541,61,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,14,0.8333,0.8406,69,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,15,0.6,0.8438,64,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,16,0.3333,0.9623,53,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,17,0.9667,0.7857,70,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,18,0.9,0.7576,66,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,19,2.0,0.5714,84,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,20,0.5333,0.7778,54,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,21,0.6333,0.8644,59,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,22,0.7333,0.8507,67,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,23,0.7667,0.7887,71,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,0,0.4,0.9038,52,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,1,0.4333,0.8793,58,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,2,0.7667,0.7321,56,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,3,1.0333,0.7778,63,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,4,1.7667,0.5652,69,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,5,0.4333,0.9062,64,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,6,0.5,0.8333,48,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,7,0.8,0.7541,61,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,8,0.3,0.9434,53,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,9,0.3667,0.9206,63,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,10,0.2667,0.9623,53,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,11,1.0667,0.7536,69,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,12,1.4667,0.6986,73,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,13,0.7667,0.7222,54,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,14,0.7333,0.7541,61,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,15,0.4333,0.8958,48,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,16,0.5,0.8769,65,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,17,0.6,0.8182,55,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,18,0.3667,0.898,49,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,19,0.5667,0.8421,57,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,20,0.6,0.8814,59,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,21,0.5,0.8966,58,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,9,22,0.6333,0.8438,64,STE_Logistic_84
